"Activity/Subject"	"tbodyacc-Mean-X"	"tbodyacc-Mean-Y"	"tbodyacc-Mean-Z"	"tgravityacc-Mean-X"	"tgravityacc-Mean-Y"	"tgravityacc-Mean-Z"	"tbodyaccjerk-Mean-X"	"tbodyaccjerk-Mean-Y"	"tbodyaccjerk-Mean-Z"	"tbodygyro-Mean-X"	"tbodygyro-Mean-Y"	"tbodygyro-Mean-Z"	"tbodygyrojerk-Mean-X"	"tbodygyrojerk-Mean-Y"	"tbodygyrojerk-Mean-Z"	"tbodyaccmag-Mean"	"tgravityaccmag-Mean"	"tbodyaccjerkmag-Mean"	"tbodygyromag-Mean"	"tbodygyrojerkmag-Mean"	"fbodyacc-Mean-X"	"fbodyacc-Mean-Y"	"fbodyacc-Mean-Z"	"fbodyacc-Meanfreq-X"	"fbodyacc-Meanfreq-Y"	"fbodyacc-Meanfreq-Z"	"fbodyaccjerk-Mean-X"	"fbodyaccjerk-Mean-Y"	"fbodyaccjerk-Mean-Z"	"fbodyaccjerk-Meanfreq-X"	"fbodyaccjerk-Meanfreq-Y"	"fbodyaccjerk-Meanfreq-Z"	"fbodygyro-Mean-X"	"fbodygyro-Mean-Y"	"fbodygyro-Mean-Z"	"fbodygyro-Meanfreq-X"	"fbodygyro-Meanfreq-Y"	"fbodygyro-Meanfreq-Z"	"fbodyaccmag-Mean"	"fbodyaccmag-Meanfreq"	"fbodybodyaccjerkmag-Mean"	"fbodybodyaccjerkmag-Meanfreq"	"fbodybodygyromag-Mean"	"fbodybodygyromag-Meanfreq"	"fbodybodygyrojerkmag-Mean"	"fbodybodygyrojerkmag-Meanfreq"	"angle(tbodyaccMean,gravity)"	"angle(tbodyaccjerkMean),gravityMean)"	"angle(tbodygyroMean,gravityMean)"	"angle(tbodygyrojerkMean,gravityMean)"	"angle(x,gravityMean)"	"angle(y,gravityMean)"	"angle(z,gravityMean)"	"tbodyacc-STD-X"	"tbodyacc-STD-Y"	"tbodyacc-STD-Z"	"tgravityacc-STD-X"	"tgravityacc-STD-Y"	"tgravityacc-STD-Z"	"tbodyaccjerk-STD-X"	"tbodyaccjerk-STD-Y"	"tbodyaccjerk-STD-Z"	"tbodygyro-STD-X"	"tbodygyro-STD-Y"	"tbodygyro-STD-Z"	"tbodygyrojerk-STD-X"	"tbodygyrojerk-STD-Y"	"tbodygyrojerk-STD-Z"	"tbodyaccmag-STD"	"tgravityaccmag-STD"	"tbodyaccjerkmag-STD"	"tbodygyromag-STD"	"tbodygyrojerkmag-STD"	"fbodyacc-STD-X"	"fbodyacc-STD-Y"	"fbodyacc-STD-Z"	"fbodyaccjerk-STD-X"	"fbodyaccjerk-STD-Y"	"fbodyaccjerk-STD-Z"	"fbodygyro-STD-X"	"fbodygyro-STD-Y"	"fbodygyro-STD-Z"	"fbodyaccmag-STD"	"fbodybodyaccjerkmag-STD"	"fbodybodygyromag-STD"	"fbodybodygyrojerkmag-STD"
"11"	"5"	0.2792	-0.01548	-0.10566	0.6982	0.11231	0.09216	0.0841	0.001766	-0.002954	-0.029452	-0.07743	0.08663	-0.10352	-0.04906	-0.050626	-0.46087	-0.46087	-0.5893	-0.60277	-0.7074	-0.5512	-0.44023	-0.6962	-0.22637	0.07486	0.006266	-0.6048	-0.551	-0.7688	-0.1029	-0.27429	-0.16371	-0.6322	-0.7171	-0.5373	-0.03816	-0.07207	0.0744	-0.5285	0.07815	-0.5732	0.131619	-0.677356	0.06222	-0.7488	0.03076	-0.009112	-0.01522	-0.009531	-0.0234	-0.5981	-0.03787	-0.044082	-0.50769	-0.4027	-0.6464	-0.9646	-0.93997	-0.9421	-0.5759	-0.50654	-0.7846	-0.70996	-0.7056	-0.60659	-0.66258	-0.7741	-0.5647	-0.5216	-0.5216	-0.589	-0.664078	-0.7342	-0.49283	-0.42216	-0.64935	-0.584	-0.4915	-0.7988	-0.7357	-0.7023	-0.6694	-0.5943	-0.6135	-0.7157	-0.7356
"12"	"6"	0.2724	-0.01757	-0.11599	0.6887	0.01621	0.04752	0.08138	0.0004793	-0.002259	-0.04336	-0.07061	0.09731	-0.08292	-0.04549	-0.053361	-0.46477	-0.46477	-0.5514	-0.5495	-0.6219	-0.5062	-0.392	-0.6837	-0.19154	0.05901	0.11305	-0.5494	-0.50356	-0.7209	-0.09561	-0.3054	-0.10068	-0.5372	-0.6212	-0.5076	0.028909	-0.04279	0.10104	-0.474	0.102347	-0.49488	0.08312	-0.5791	0.10419	-0.6519	0.08182	-0.013833	-0.003482	0.09233	-0.06235	-0.5287	0.01973	-0.012552	-0.50509	-0.3684	-0.6725	-0.9589	-0.9509	-0.9379	-0.5315	-0.45444	-0.739	-0.6538	-0.6263	-0.5999	-0.546	-0.6776	-0.52691	-0.4838	-0.4838	-0.50294	-0.5798	-0.6445	-0.50668	-0.3967	-0.69437	-0.5553	-0.43784	-0.7558	-0.6929	-0.6332	-0.67302	-0.5709	-0.51671	-0.6574	-0.6602
"13"	"7"	0.2702	-0.01879	-0.11249	0.6813	-0.042022	0.0342161	0.08318	0.007609	-0.007917	-0.051872	-0.06461	0.09777	-0.0942	-0.04144	-0.06103	-0.5113	-0.5113	-0.6228	-0.5819	-0.71319	-0.593	-0.5635	-0.531	-0.3118	-0.03007	0.01466	-0.6375	-0.6417	-0.6425	-0.1198	-0.2395	-0.22026	-0.64377	-0.6304	-0.65508	-0.13449	-0.10388	-0.08634	-0.5183	-0.010687	-0.5534	0.1087	-0.6289	-0.03523	-0.6689	0.06319	0.00269	-0.010143	0.0422	-0.02301	-0.5257	0.10879	-0.03343	-0.5775	-0.5464	-0.4565	-0.9565	-0.9553	-0.9233	-0.6151	-0.623	-0.66434	-0.68716	-0.65241	-0.66334	-0.7017	-0.6749	-0.75081	-0.5107	-0.5107	-0.55056	-0.5987	-0.658	-0.5723	-0.567	-0.4607921	-0.6268	-0.6285	-0.68486	-0.70388	-0.67116	-0.6989	-0.5838	-0.5507	-0.65092	-0.669
"14"	"8"	0.2708	-0.01819	-0.10681	0.6475	0.03032	0.083654	0.08422	0.0008603	-0.019672	0.00359	-0.09108	0.06409	-0.10497	-0.04009	-0.05829	-0.4685	-0.4685	-0.53425	-0.47621	-0.6736	-0.5818	-0.3749	-0.55098	-0.21602	0.02633	0.0914	-0.5916	-0.49591	-0.6443	0.02123	-0.16906	-0.08261	-0.6014	-0.5759	-0.52556	-0.1171	-0.15388	-0.04303	-0.51211	0.14654	-0.52924	0.2715	-0.61	-0.02322	-0.7022	0.2237	0.024102	-0.04478	-0.04566	-0.014249	-0.464	0.04696	-0.05964	-0.583	-0.3494	-0.49947	-0.9543	-0.9484	-0.9232	-0.576	-0.4587	-0.6684	-0.6562	-0.5709	-0.51139	-0.67498	-0.6831	-0.69597	-0.554	-0.554	-0.5645	-0.5814	-0.7158	-0.5853	-0.3787	-0.51321	-0.5985	-0.4564	-0.6915	-0.6753	-0.5731	-0.554	-0.6516	-0.618	-0.6367	-0.7557
"15"	"9"	0.2703	-0.02095	-0.10123	0.6708	-0.046745	0.104354	0.08402	0.006785	-0.00103	-0.070132	-0.07299	0.10909	-0.08923	-0.03973	-0.0534	-0.50518	-0.50518	-0.62161	-0.5502	-0.763	-0.5793	-0.6103	-0.5921	-0.2913	-0.0879	-0.03043	-0.6214	-0.6998	-0.70293	-0.21918	-0.2961	-0.2903	-0.6399	-0.68392	-0.61268	-0.2059	-0.24088	-0.19615	-0.5532	-0.003583	-0.6092	0.09836	-0.7009	-0.10883	-0.7865	0.09278	0.006596	-0.010428	0.08678	-0.0231	-0.5581	0.1169	-0.08985	-0.5557	-0.5759	-0.50611	-0.9588	-0.9499	-0.92055	-0.5783	-0.67892	-0.72161	-0.6765	-0.6705	-0.5876	-0.7617	-0.7733	-0.7447	-0.553	-0.553	-0.6089	-0.6632	-0.7862	-0.548	-0.5868	-0.50107	-0.5728	-0.6791	-0.7391	-0.6907	-0.6672	-0.6195	-0.6245	-0.6116	-0.69773	-0.8013
"16"	"10"	0.27685	-0.01784	-0.1113	0.6429	-0.07402	0.0552	0.07981	0.01291	-0.01136	-0.018502	-0.08464	0.09103	-0.10815	-0.04242	-0.05555	-0.5025	-0.5025	-0.5778	-0.52182	-0.7345	-0.5323	-0.49465	-0.6551	-0.156151	0.09481	0.15069	-0.5472	-0.5551	-0.72169	-0.0313	-0.14894	0.01124	-0.6204	-0.64835	-0.5675	-0.06632	-0.08815	-0.05007	-0.51873	0.17325	-0.51514	0.1630727	-0.6615	0.012086	-0.7678	0.15358	0.0028333	-0.003624	-0.01922	0.052032	-0.503	0.14052	-0.004994	-0.5378	-0.49741	-0.6148	-0.9658	-0.9545	-0.93871	-0.5294	-0.5402	-0.75073	-0.67391	-0.5913	-0.5981	-0.7032	-0.7686	-0.6868	-0.5453	-0.5453	-0.52934	-0.6244	-0.7688	-0.5412	-0.53214	-0.6259	-0.5534	-0.5563	-0.7792	-0.69265	-0.5659	-0.6459	-0.6332	-0.55303	-0.666	-0.7871
"17"	"11"	0.27659	-0.01913	-0.10894	0.7305	0.05274	0.14021	0.08301	0.007804	-0.006574	-0.05473	-0.05823	0.08728	-0.08055	-0.04939	-0.04801	-0.5428	-0.5428	-0.67982	-0.62837	-0.8268	-0.6195	-0.5315	-0.75	-0.22436	0.031855	0.05028	-0.67667	-0.63237	-0.8256	-0.08743	-0.24257	-0.09923	-0.7099	-0.7769	-0.7088	-0.11187	-0.18178	-0.0811	-0.6115	0.12725	-0.6561	0.158364	-0.7576	-0.10978	-0.8648	0.11789	8.84e-05	-0.018897	0.05063	-0.03509	-0.536	0.001652	-0.076907	-0.5895	-0.49038	-0.66532	-0.9754	-0.9571	-0.9568	-0.65932	-0.60878	-0.8425	-0.73992	-0.7035	-0.725	-0.7817	-0.8684	-0.7955	-0.6129	-0.6129	-0.66424	-0.6968	-0.8669	-0.5795	-0.50257	-0.6521	-0.6722	-0.6094	-0.8583	-0.75176	-0.67089	-0.756	-0.67447	-0.67693	-0.7113	-0.8793
"18"	"12"	0.2736	-0.018337	-0.10665	0.6992	0.02998	0.03303	0.07043	0.005312	0.0003081	-0.06287	-0.0592	0.09607	-0.07311	-0.04368	-0.05746	-0.5596	-0.5596	-0.6301	-0.6317	-0.7773	-0.5789	-0.52329	-0.7266	-0.18374	0.04446	0.06891	-0.5991	-0.5913	-0.7754	-0.04662	-0.20469	-0.09756	-0.6612	-0.7448	-0.6574	-0.08435	-0.10731	-0.06485	-0.5593	0.07559	-0.5642	0.126324	-0.7173	-0.045536	-0.789903	0.07059	0.016709	0.01633	0.1189	-0.06449	-0.5586	0.02846	-0.009782	-0.584	-0.522	-0.69929	-0.9674	-0.9606	-0.9468	-0.5824	-0.5714	-0.7926	-0.72788	-0.7351	-0.67106	-0.7097	-0.8112	-0.7494	-0.5744	-0.5744	-0.5664	-0.6849	-0.7864	-0.5869	-0.5531	-0.71	-0.603	-0.5792	-0.8086	-0.75039	-0.7335	-0.7082	-0.6505	-0.5716	-0.7194	-0.7974
"19"	"13"	0.2759	-0.01765	-0.10914	0.71	-0.04209	0.0443	0.07944	0.00388	-0.012349	-0.056247	-0.06166	0.09887	-0.08812	-0.04408	-0.05827	-0.5399	-0.5399	-0.62547	-0.5812	-0.7127	-0.6388	-0.4935	-0.62974	-0.222057	-0.03483	0.04873	-0.6601	-0.6033	-0.710832	-0.0242	-0.23833	-0.1206	-0.6586	-0.6472	-0.6205	-0.11265	-0.08061	-0.00505	-0.5899	0.08495	-0.6073	0.182861	-0.6522	0.06259	-0.7121	0.1574	-0.004638	0.012223	0.09395	-0.02767	-0.5001	0.09168	-0.02432	-0.6248	-0.44882	-0.5872	-0.9673	-0.9535	-0.9387	-0.6389	-0.5697	-0.72845	-0.7151	-0.6457	-0.64334	-0.71577	-0.719	-0.71272	-0.5972	-0.5972	-0.6102	-0.6364	-0.7121	-0.6206	-0.46258	-0.599	-0.6496	-0.5621	-0.7448	-0.7347	-0.6506	-0.68577	-0.6653	-0.6171	-0.6919	-0.73318
"20"	"14"	0.2702	-0.016255	-0.10099	0.6721	-0.1117	-0.1612	0.07418	0.004437	-0.00253	0.0002537	-0.09549	0.06067	-0.10756	-0.04332	-0.04507	-0.45326	-0.45326	-0.609	-0.4165	-0.7005	-0.6195	-0.45524	-0.44065	-0.3192	-0.153084	-0.10784	-0.6544	-0.5987	-0.6187	-0.14866	-0.3054	-0.2392	-0.69917	-0.50463	-0.4239	-0.24134	-0.3454	-0.21282	-0.4909	-0.06007	-0.5969	0.13724	-0.543	-0.13854	-0.7176	0.09076	0.03223	0.0224	-0.05257	0.02784	-0.4189	0.1571	0.1215	-0.6117	-0.3747	-0.2935	-0.9412	-0.94238	-0.9159	-0.642	-0.5865	-0.6569	-0.72866	-0.399	-0.3645	-0.7863	-0.6979	-0.6383	-0.47406	-0.47406	-0.6051	-0.4715	-0.727	-0.6094	-0.3768	-0.275	-0.6615	-0.6022	-0.69442	-0.74005	-0.3489	-0.4077	-0.5483	-0.6192	-0.5169	-0.7606
"21"	"15"	0.27821	-0.01646	-0.11256	0.6889	0.1027	0.03729	0.07769	0.004894	-0.00441	-0.028128	-0.07588	0.09067	-0.09609	-0.04413	-0.05556	-0.52729	-0.52729	-0.6548	-0.6177	-0.8053	-0.5838	-0.50774	-0.74175	-0.21864	0.05051	0.04245	-0.6435	-0.6094	-0.80554	-0.04903	-0.19741	-0.07378	-0.6644	-0.7607	-0.71119	-0.14326	-0.22214	-0.05798	-0.5629	0.06143	-0.6148	0.1584	-0.7324	-0.149681	-0.8368	0.09556	0.013419	-0.01239	0.0007278	0.006675	-0.5226	-0.02835	-0.003969	-0.55654	-0.48168	-0.7057	-0.9687	-0.9564	-0.9472	-0.6241	-0.5943	-0.82582	-0.69686	-0.708779	-0.7218	-0.7314	-0.854	-0.7956	-0.5571	-0.5571	-0.6257	-0.67534	-0.8371	-0.54715	-0.50157	-0.7114	-0.6377	-0.6059	-0.8451	-0.70934	-0.6845	-0.7517	-0.6237	-0.6431	-0.69535	-0.8496
